idProduit,nomProduit,categorieProduit,prix,poidsExpedition,venteAmazone
7e3cd8712b226daca73ba3ab3abde13c,"Perler 80-22860 Instruction Pad for Fuse Beads, 86 Patterns, Summertime Fun Piece","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",5.99,0.38125,1
4b6b86b2b3dc1365799a984f9513dfbf,"Perler 42766 Bead Bucket, Multicolor","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",13.62,1.2,1
a3316c66f7b53f7202ccd7fcc4f42709,Perler Beads Extra Large Clear Pegboard,"Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",8.60,1.1,1
f7c55d73f254827b28d22e46eab11ddc,"Perler Beads Fuse Beads for Crafts, 1000pcs, Light Green","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",5.18,0.02,1
16def973069a54e5a6ecc30de08fa2d1,"Perler 80-63077 3D Pets Fuse Bead Kit, 2004pc, 10 Patterns, Multicolor","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",10.99,0.58125,1
1534ce668318575dbe44cb3d0504b7fa,"Perler Beads Fuse Beads for Crafts, 1000pcs, Masquerade Mix","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",5.49,0.14,1
ae9faea4d40d7d2395783509541b377d,"Perler PB-80A-11132 Rainbow Terrier Dog Pattern and Fuse Bead Kit, 11'' x 11.5'', 3503pc, Multicolor","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",8.99,0.56875,1
81c186d7cff6f21a23e230630d65bd14,"Perler Beads Fuse Beads for Crafts, 1000pcs, Orange","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",4.99,0.02,1
592919fe2f0929097ca7fc5e89d3e9f9,"Perler Beads Fuse Beads for Crafts, 6000pcs, Dark Brown","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",11.91,0.7,1
44fa2612fbdf1bc8f51967d9ed510fd5,"Perler Beads Fuse Beads for Crafts, 1000pcs, Green Glitter Fairy Dust","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",4.85,0.15,1
bff8c4b09d4899a0a8b34da2edd0af50,"Perler Beads Patterns and Idea Book for Kid's Crafts, 28 pgs","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",10.11,0.6375,1
29b982d563cff5158ba908f3e09c7acb,"Perler Beads Fuse Beads for Crafts, 1000pcs, Bubblegum Pink","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",4.98,0.1,1
91b9c661036cd06f9648a28e8e328dca,Football Beads - Pack of 144,"Arts, Crafts & Sewing | Beading & Jewelry Making | Beads & Bead Assortments",14.03,0.15,1
8849e4266b63d8cdf0cde145cc3cb780,Aleene's Fabric Fusion Permanent Fabric Adhesive 4oz,"Arts, Crafts & Sewing | Crafting | Craft Supplies",5.88,0.3,1
41434099b63a1928f794ed5d3f538ea5,WikkiStix Animal Activity Pak,"Arts, Crafts & Sewing | Crafting | Craft Supplies",7.97,0.05,1
e6128e507378640b214e87e8ce70a681,"WikkiStix Holiday Fun Favors, Pack of 50","Arts, Crafts & Sewing | Crafting | Craft Supplies",21.02,0.85,1
31d6bf290f84cf8974767aae76d2433d,"Excel Blades #27 Heavy Duty Saw Hobby Blade, 5 Pack, American Made Replacement Craft Knife Blades","Arts, Crafts & Sewing | Crafting | Craft Supplies | Cutting Tools | Art Knives & Blades",7.80,0.03,1
377fdf4e6fa7db5071837d04710c0b7b,"Excel Blades #19 Angled Wood Chisel Blade, 1 Inch, American Made Replacement Hobby Blades, 5 Pack","Arts, Crafts & Sewing | Crafting | Craft Supplies | Cutting Tools | Art Knives & Blades",5.55,0.03,1
66674125f3e678d9de265b28b6c8bfa3,"Excel Blades #13 Fine Saw Hobby Blade, 5 Pack, American Made Replacement Craft Knife Blades","Arts, Crafts & Sewing | Crafting | Craft Supplies | Cutting Tools | Art Knives & Blades",from 1 seller,0.03,1
ea5ecf5fc15c348dccf6b4bd32ad4a6f,"Creativity Street Chenille Stems/Pipe Cleaners 12 Inch x 6mm 100-Piece, Assorted Colors","Arts, Crafts & Sewing | Crafting | Craft Supplies | Pipe Cleaners",4.56,0.25,1
29b96a6ca68660a80758ec15f2d40584,"Creativity Street Chenille Stems/Pipe Cleaners 12 Inch x 6mm 100-Piece, Purple","Arts, Crafts & Sewing | Crafting | Craft Supplies | Pipe Cleaners",6.61,0.35,1
9fb6320458b702bd9e2538b01219fc57,"Darice Chenille Stems (100pc), Red – Perfect for Craft Projects – Classic Pipe Cleaners are Easy to Bend to Create Shapes, Objects - Great for Kids, Classrooms, Home and More – 6mm x 12” Long","Arts, Crafts & Sewing | Crafting | Craft Supplies | Pipe Cleaners",5.74,0.95,1
2593975c2d300ba1a97af89cc930243f,"Creativity Street 7182-01 Colossal Stems, Bumps, 15mm by 19.5-Inch","Arts, Crafts & Sewing | Crafting | Craft Supplies | Pipe Cleaners",23.99,0.2,1
456af793be615c7f681605f3b31fa1ad,"Darice Chenille Stems (25pc), Grey – Perfect for Craft Projects – Classic Pipe Cleaners are Easy to Bend to Create Shapes, Objects - Great for Kids, Classrooms, Home and More – 6mm x 12” Long","Arts, Crafts & Sewing | Crafting | Craft Supplies | Pipe Cleaners",8.30,0.06,1
ee14c2e9dd90e9939feadc4200a5425b,"Artool Freehand Airbrush Templates, Classic Camo","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper",24.69,1.0,1
899645f35b214da0ae594e309d8d6ea4,"SunWorks PAC6525 Construction Paper, 11 Assorted Colors, 9 x 12, 300 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.99,3.75,1
9082da93038be5d10eba70564f6d30bd,"Decorol 101208 Flame Retardant Paper, White","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",104.79,35.6,1
7841ca45070381fd9f402290d6502649,"SunWorks Construction Paper, Sky Blue, 12 x 18, 100 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",12.22,2.6,1
7bb6af5bf4846898a1fcfe1951f1e823,"SunWorks Construction Paper, Turquoise, 9 x 12, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",1.89,0.7,1
4d62e01a2d96257613b3f4064f38a938,"Bee Paper Bleedproof Marker Pack, 11-Inch by 14-Inch, 50 Sheets per Pack","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",20.95,2.15,1
549aadac6faad5e1ea0faaab608c131f,"Riverside 3D Construction Paper, Holiday Red, 12 x 18, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",9.99,1.8,1
3943d037e6b2be297d3b5b3a42718c20,"Tru-Ray Heavyweight Construction Paper, Sky Blue, 9 x 12, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",4.17,0.9,1
c92e63fa8ea018600ff5086e5c5b475c,"Riverside 3D Construction Paper, Black, 18 x 24, 50 Sheets","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.64,3.6,1
9b8ef7a4dfe419ddd2d31f141b27160d,"Pacon SunWorks Construction Paper, 18 x 24, 50-Count, Yellow (8417)","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",10.99,2.85,1
