ville,pays,region,geonameid
Wettingen,Switzerland,Aargau,2658011
Baden,Switzerland,Aargau,2661646
Aarau,Switzerland,Aargau,2661881
Semey,Kazakhstan,Abai Region,1519422
Kalbatau,Kazakhstan,Abai Region,1524245
Ayagoz,Kazakhstan,Abai Region,1525988
Umuahia,Nigeria,Abia,2320576
Ohafia-Ifigh,Nigeria,Abia,2327494
Bende,Nigeria,Abia,2347303
Amaigbo,Nigeria,Abia,2350249
Aba,Nigeria,Abia,2353151
Bingerville,Ivory Coast,Abidjan,2291580
Anyama,Ivory Coast,Abidjan,2292852
Abobo,Ivory Coast,Abidjan,2293521
Abidjan,Ivory Coast,Abidjan,2293538
Marcory,Ivory Coast,Abidjan,2595323
Tqvarcheli,Georgia,Abkhazia,611583
Sokhumi,Georgia,Abkhazia,611847
Och’amch’ire,Georgia,Abkhazia,612652
Stantsiya Novyy Afon,Georgia,Abkhazia,615912
Vasto,Italy,Abruzzo,3164672
Teramo,Italy,Abruzzo,3165803
Sulmona,Italy,Abruzzo,3166034
San Salvo,Italy,Abruzzo,3167751
Roseto degli Abruzzi,Italy,Abruzzo,3168936
Pescara,Italy,Abruzzo,3171168
Montesilvano Marina,Italy,Abruzzo,3172729
LAquila,Italy,Abruzzo,3175121
Lanciano,Italy,Abruzzo,3175173
Giulianova,Italy,Abruzzo,3176053
Francavilla al Mare,Italy,Abruzzo,3176605
Chieti,Italy,Abruzzo,3178796
Avezzano,Italy,Abruzzo,3182636
Zayed City,United Arab Emirates,Abu Dhabi,291580
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Al Ain City,United Arab Emirates,Abu Dhabi,292913
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968
Khalifah A City,United Arab Emirates,Abu Dhabi,8057551
Bani Yas City,United Arab Emirates,Abu Dhabi,12042052
Musaffah,United Arab Emirates,Abu Dhabi,12042053
Al Shamkhah City,United Arab Emirates,Abu Dhabi,12047416
Zinjibār,Yemen,Abyan Governorate,69426
Khirdalan,Azerbaijan,Abşeron,585915
Singkil,Indonesia,Aceh,1213713
Sigli,Indonesia,Aceh,1213821
Sabang,Indonesia,Aceh,1214026
Reuleuet,Indonesia,Aceh,1214055
Meulaboh,Indonesia,Aceh,1214488
Lhokseumawe,Indonesia,Aceh,1214658
Langsa,Indonesia,Aceh,1214724
Blangpidie,Indonesia,Aceh,1215326
Bireun,Indonesia,Aceh,1215350
Banda Aceh,Indonesia,Aceh,1215502
Kobuleti,Georgia,Achara,613762
Batumi,Georgia,Achara,615532
Tarauacá,Brazil,Acre,3661980
Sena Madureira,Brazil,Acre,3662155
Rio Branco,Brazil,Acre,3662574
Cruzeiro do Sul,Brazil,Acre,3664464
Senador Guiomard,Brazil,Acre,3924752
Sufālat Samā’il,Oman,Ad Dakhiliyah,286293
Nizwá,Oman,Ad Dakhiliyah,286987
Izkī,Oman,Ad Dakhiliyah,287814
Bidbid,Oman,Ad Dakhiliyah,288721
Bahlā’,Oman,Ad Dakhiliyah,288899
Adam,Oman,Ad Dakhiliyah,289433
‘Ibrī,Oman,Ad Dhahirah,287830
Yanqul,Oman,Ad Dhahirah,411849
Tibati,Cameroon,Adamaoua,2221530
Ngaoundéré,Cameroon,Adamaoua,2224827
Meïganga,Cameroon,Adamaoua,2227402
Banyo,Cameroon,Adamaoua,2234794
Yola,Nigeria,Adamawa,2318044
Numan,Nigeria,Adamawa,2328617
Mubi,Nigeria,Adamawa,2329821
Jimeta,Nigeria,Adamawa,2336056
Gombi,Nigeria,Adamawa,2340446
Ganye,Nigeria,Adamawa,2341955
Kozan,Turkey,Adana,306112
İmamoğlu,Turkey,Adana,311453
Ceyhan,Turkey,Adana,318675
Adana,Turkey,Adana,325363
Addis Ababa,Ethiopia,Addis Ababa,344979
Aden,Yemen,Aden,415189
Reggane,Algeria,Adrar,2483761
Aoulef,Algeria,Adrar,2506795
Adrar,Algeria,Adrar,2508813
Atar,Mauritania,Adrar,2381334
Yablonovskiy,Russia,Adygeya Republic,469844
Maykop,Russia,Adygeya Republic,528293
Giaginskaya,Russia,Adygeya Republic,561515
Enem,Russia,Adygeya Republic,563472
Kâhta,Turkey,Adıyaman Province,310855
Gölbaşı,Turkey,Adıyaman Province,314136
Besni,Turkey,Adıyaman Province,321337
Adıyaman,Turkey,Adıyaman Province,325330
Sandıklı,Turkey,Afyonkarahisar Province,301911
Emirdağ,Turkey,Afyonkarahisar Province,315621
Dinar,Turkey,Afyonkarahisar Province,316634
Çay,Turkey,Afyonkarahisar Province,319104
Bolvadin,Turkey,Afyonkarahisar Province,320879
