"idCommande","dateCommande","statut","idClient"
"1","2021-03-19","livrée","5f10e9D33fC5f2b"
"2","2021-07-31","payée","5f10e9D33fC5f2b"
"3","2022-07-30","annulée","5f10e9D33fC5f2b"
"4","2020-09-08","en cours","5f10e9D33fC5f2b"
"5","2020-10-28","livrée","751cD1cbF77e005"
"6","2020-03-19","livrée","DcEFDB2D2e62bF9"
"7","2021-08-18","en cours","DcEFDB2D2e62bF9"
"8","2021-04-19","payée","DcEFDB2D2e62bF9"
"9","2021-01-04","livrée","DcEFDB2D2e62bF9"
"10","2021-03-23","payée","DcEFDB2D2e62bF9"
"11","2021-03-02","annulée","C88661E02EEDA9e"
"12","2020-03-11","en cours","C88661E02EEDA9e"
"13","2021-08-17","livrée","fafF1aBDebaB2a6"
"14","2020-08-07","annulée","fafF1aBDebaB2a6"
"15","2021-05-09","payée","fafF1aBDebaB2a6"
"16","2022-08-12","payée","BdDb6C8Af309202"
"17","2020-11-18","annulée","BdDb6C8Af309202"
"18","2020-11-03","en cours","BdDb6C8Af309202"
"19","2020-01-01","annulée","356279dAa0F7CbD"
"20","2020-06-20","livrée","356279dAa0F7CbD"
"21","2022-05-21","en cours","356279dAa0F7CbD"
"22","2020-04-09","payée","356279dAa0F7CbD"
"23","2021-10-11","en cours","F563CcbFBfEcf5a"
"24","2020-01-12","en cours","F563CcbFBfEcf5a"
"25","2021-07-19","livrée","FEf0Cc496EB4bC0"
"26","2021-05-27","payée","FEf0Cc496EB4bC0"
"27","2020-06-20","livrée","BEA2b99B1efBFAA"
"28","2021-11-07","payée","BEA2b99B1efBFAA"
"29","2020-05-01","en cours","BEA2b99B1efBFAA"
"30","2020-11-30","livrée","Fec6b46586ad5ab"
"31","2020-02-13","en cours","Fec6b46586ad5ab"
"32","2021-08-01","en cours","Fec6b46586ad5ab"
"33","2022-03-05","annulée","Fec6b46586ad5ab"
"34","2021-05-02","payée","d8CF9ED8c6E5b0b"
"35","2021-06-01","livrée","d8CF9ED8c6E5b0b"
"36","2021-08-03","payée","d8CF9ED8c6E5b0b"
"37","2021-03-05","payée","d8CF9ED8c6E5b0b"
"38","2020-10-28","payée","d8CF9ED8c6E5b0b"
"39","2020-07-19","payée","b82C14f184d0cf6"
"40","2021-02-09","annulée","b82C14f184d0cf6"
"41","2020-12-12","en cours","F8E52fAaA87Cb2D"
"42","2021-09-20","annulée","aaB0b03cFED1CeE"
"43","2021-12-31","livrée","aaB0b03cFED1CeE"
"44","2020-08-15","annulée","dFB1FaeB5915Dee"
"45","2022-06-12","en cours","983Dd56BB6Bbddb"
"46","2021-12-22","payée","Ccee761Bfb157db"
"47","2021-10-31","payée","Ccee761Bfb157db"
"48","2020-06-02","annulée","Ccee761Bfb157db"
"49","2021-08-18","payée","Ccee761Bfb157db"
"50","2021-08-16","annulée","F0e6bBAfFAeE76E"
"51","2020-07-26","annulée","F0e6bBAfFAeE76E"
"52","2020-09-09","annulée","F0e6bBAfFAeE76E"
"53","2020-02-18","livrée","F0e6bBAfFAeE76E"
"54","2020-01-28","payée","f628DfBb03CBD1F"
"55","2021-12-20","annulée","f628DfBb03CBD1F"
"56","2020-12-17","annulée","39Aded2dba9D2dA"
"57","2020-03-22","livrée","ab6F7E1f5F3f4cb"
"58","2022-06-19","en cours","ab6F7E1f5F3f4cb"
"59","2021-01-17","annulée","ab6F7E1f5F3f4cb"
"60","2020-08-07","livrée","Bbe2B2Dcf652e55"
"61","2022-03-31","annulée","Bbe2B2Dcf652e55"
"62","2021-03-12","payée","Bbe2B2Dcf652e55"
"63","2021-02-22","payée","Bbe2B2Dcf652e55"
"64","2021-08-04","livrée","CBCb48f7602b113"
