"idcommande","noLigne","quantite","idProduit"
"1","1","4","0"
"2","2","3","0"
"3","2","3","28"
"4","1","3","12"
"5","3","2","6"
"6","1","4","21"
"7","2","3","0"
"8","2","2","64"
"9","1","4","7"
"10","3","3","0"
"11","1","3","8"
"12","2","4","0"
"13","3","2","45"
"14","1","3","0"
"15","1","4","54"
"16","2","1","6"
"17","2","2","234"
"18","3","4","9"
"19","3","4","0"
"20","1","3","7"
"21","3","4","50"
"22","2","2","0"
"23","1","2","26"
"24","3","2","6"
"25","2","1","2147483647"
"26","2","1","0"
"27","1","2","43821911"
"28","3","3","2147483647"
"29","1","4","7"
"30","2","4","5377"
"31","3","2","2"
"32","1","3","7"
"33","3","4","95"
"34","1","3","0"
"35","3","2","43543"
"36","2","4","316340"
"37","1","3","1"
"38","1","1","39"
"39","3","3","6"
"40","1","2","0"
"41","2","2","7549676"
"42","3","2","0"
"43","1","2","6"
"44","3","4","0"
"45","1","1","29"
"46","2","2","0"
"47","3","1","0"
"48","3","3","788"
"49","1","3","0"
"50","2","2","0"
"51","2","3","2147483647"
"52","1","2","0"
"53","3","4","6226"
"54","3","4","0"
"55","1","1","44"
"56","2","2","0"
"57","1","2","18"
"58","3","3","0"
"59","1","1","3"
"60","3","2","2"
"61","2","4","749"
"62","3","2","1"
"63","2","3","0"
"64","1","2","16420"
"65","2","1","2147483647"
"66","3","2","14211"
"67","2","1","77"
"68","3","4","0"
"69","2","1","2"
"70","2","2","0"
"71","2","1","5101762"
"72","1","2","56"
"73","3","2","639"
"74","2","4","3"
"75","1","2","0"
"76","2","4","0"
"77","1","2","5"
"78","3","2","0"
"79","2","4","736"
"80","1","2","13"
"81","1","3","45"
"82","3","2","5049"
"83","2","2","0"
"84","2","2","3"
"85","3","4","43"
"86","3","2","0"
"87","2","2","8"
"88","3","4","2147483647"
"89","1","4","80000000"
"90","2","4","77"
"91","3","4","30"
"92","1","2","63"
"93","2","4","0"
"94","3","3","0"
"95","1","3","0"
"96","1","3","0"
"97","3","1","6479"
"98","2","4","1"
"99","1","1","0"
"100","2","1","0"
"101","2","1","75000000"
"102","3","3","0"
"103","3","2","5"
"104","2","1","2"
